Task ID,Task Type,Duration in min,Day of Week,has Description,has Address,has URL,Priority,is Complete,Start Time,End Time,hour_end,minute_end,hour_start,minute_start,hour_start_sin,hour_start_cos,minute_start_sin,minute_start_cos
61,workout,60,Thursday,False,False,False,ASAP,True,09:00,10:00,10.0,0.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
62,personal,30,Friday,True,False,False,high,True,16:00,16:30,16.0,30.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
63,work,60,Friday,False,False,False,high,True,17:00,18:00,18.0,0.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
64,workout,60,Friday,True,False,False,low,True,13:00,14:00,14.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
65,workout,60,Wednesday,True,False,False,low,True,13:00,14:00,14.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
66,personal,120,Friday,True,False,False,low,True,18:00,20:00,20.0,0.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
67,workout,120,Friday,False,False,False,low,True,07:30,09:30,9.0,30.0,7,30,0.9659258262890683,-0.25881904510252063,5.66553889764798e-16,-1.0
68,workout,60,Thursday,False,False,False,low,True,19:30,20:30,20.0,30.0,19,30,-0.9659258262890684,0.2588190451025203,5.66553889764798e-16,-1.0
69,personal,60,Friday,True,False,False,low,True,18:00,19:00,19.0,0.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
70,personal,90,Friday,True,True,False,low,True,16:00,17:30,17.0,30.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
71,meeting,60,Monday,True,False,True,medium,True,16:00,17:00,17.0,0.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
72,work,120,Wednesday,True,False,False,low,True,20:00,22:00,22.0,0.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
73,work,90,Friday,True,False,False,ASAP,True,16:00,17:30,17.0,30.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
74,workout,120,Wednesday,False,True,False,ASAP,True,12:30,14:30,14.0,30.0,12,30,1.2246467991473532e-16,-1.0,5.66553889764798e-16,-1.0
75,work,60,Friday,True,False,False,medium,True,16:00,17:00,17.0,0.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
76,workout,30,Wednesday,False,False,False,ASAP,True,07:30,08:00,8.0,0.0,7,30,0.9659258262890683,-0.25881904510252063,5.66553889764798e-16,-1.0
77,meeting,60,Monday,True,True,True,medium,True,09:00,10:00,10.0,0.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
78,personal,120,Friday,True,False,True,medium,True,07:00,09:00,9.0,0.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
79,personal,90,Friday,True,True,False,low,True,10:00,11:30,11.0,30.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
80,personal,90,Friday,True,False,False,ASAP,True,18:00,19:30,19.0,30.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
81,work,60,Friday,True,False,False,ASAP,False,12:00,,,,12,0,1.2246467991473532e-16,-1.0,0.0,1.0
82,meeting,100,Friday,True,False,True,medium,False,11:00,,,,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
83,work,30,Friday,True,False,False,low,True,08:00,08:30,8.0,30.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
84,work,90,Friday,True,False,False,high,True,15:00,16:30,16.0,30.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
85,meeting,45,Friday,True,True,False,medium,True,17:00,17:45,17.0,45.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
86,meeting,30,Monday,True,False,True,ASAP,True,14:00,14:30,14.0,30.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
87,meeting,100,Monday,True,False,True,medium,True,11:00,12:40,12.0,40.0,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
88,meeting,100,Friday,True,False,False,high,True,11:00,12:40,12.0,40.0,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
89,personal,120,Friday,True,False,False,low,True,15:00,17:00,17.0,0.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
90,coding,60,Friday,True,False,False,medium,True,15:00,16:00,16.0,0.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
91,coding,210,Wednesday,False,False,False,medium,True,13:00,16:30,16.0,30.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
92,meeting,90,Monday,True,True,True,ASAP,True,10:00,11:30,11.0,30.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
93,coding,150,Tuesday,True,False,False,ASAP,True,19:00,21:30,21.0,30.0,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
94,coding,90,Friday,False,False,False,ASAP,False,20:00,,,,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
95,meeting,45,Friday,True,False,True,medium,True,15:00,15:45,15.0,45.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
96,coding,150,Tuesday,True,False,False,high,True,19:00,21:30,21.0,30.0,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
97,work,90,Friday,True,False,False,medium,True,10:00,11:30,11.0,30.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
98,workout,60,Tuesday,False,False,False,low,True,07:00,08:00,8.0,0.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
99,workout,60,Thursday,True,False,False,ASAP,True,08:00,09:00,9.0,0.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
100,meeting,60,Monday,False,True,True,ASAP,True,14:00,15:00,15.0,0.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
101,personal,120,Friday,True,False,False,high,True,09:00,11:00,11.0,0.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
102,meeting,90,Monday,True,True,True,ASAP,True,09:00,10:30,10.0,30.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
103,personal,60,Friday,True,False,False,medium,True,16:00,17:00,17.0,0.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
104,workout,60,Friday,False,False,False,low,False,09:00,,,,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
105,meeting,30,Thursday,True,True,True,ASAP,True,11:00,11:30,11.0,30.0,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
106,work,90,Friday,True,False,False,high,False,19:00,,,,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
107,coding,180,Wednesday,True,False,False,high,True,12:00,15:00,15.0,0.0,12,0,1.2246467991473532e-16,-1.0,0.0,1.0
108,personal,90,Friday,True,False,False,low,True,19:00,20:30,20.0,30.0,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
109,coding,240,Tuesday,False,False,False,high,True,17:00,21:00,21.0,0.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
110,coding,120,Tuesday,True,False,False,medium,True,11:00,13:00,13.0,0.0,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
111,meeting,30,Thursday,True,True,True,ASAP,True,16:00,16:30,16.0,30.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
112,coding,180,Tuesday,True,False,False,medium,True,08:00,11:00,11.0,0.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
113,work,90,Friday,True,True,False,ASAP,True,07:00,08:30,8.0,30.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
114,coding,120,Tuesday,False,False,False,ASAP,True,11:00,13:00,13.0,0.0,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
115,meeting,60,Friday,True,True,True,ASAP,True,14:00,15:00,15.0,0.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
116,work,60,Friday,True,False,False,high,True,15:00,16:00,16.0,0.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
117,workout,30,Monday,False,False,False,low,True,19:30,20:00,20.0,0.0,19,30,-0.9659258262890684,0.2588190451025203,5.66553889764798e-16,-1.0
118,coding,270,Wednesday,True,False,False,medium,True,09:00,13:30,13.0,30.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
119,meeting,60,Monday,False,False,True,ASAP,True,16:00,17:00,17.0,0.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
120,workout,30,Monday,True,False,False,low,True,07:00,07:30,7.0,30.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
121,workout,60,Monday,False,False,False,ASAP,True,12:30,13:30,13.0,30.0,12,30,1.2246467991473532e-16,-1.0,5.66553889764798e-16,-1.0
122,personal,30,Friday,True,False,False,low,True,13:00,13:30,13.0,30.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
123,work,60,Wednesday,False,False,False,low,True,07:00,08:00,8.0,0.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
124,coding,120,Thursday,True,False,False,ASAP,True,18:00,20:00,20.0,0.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
125,meeting,90,Thursday,True,False,True,medium,True,15:00,16:30,16.0,30.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
126,personal,90,Wednesday,True,False,False,high,True,19:00,20:30,20.0,30.0,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
127,work,90,Friday,True,True,True,low,True,14:00,15:30,15.0,30.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
128,personal,60,Friday,True,True,False,medium,False,19:00,,,,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
129,work,30,Friday,True,False,False,low,True,20:00,20:30,20.0,30.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
130,work,90,Friday,True,False,True,high,True,15:00,16:30,16.0,30.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
131,coding,120,Friday,False,False,False,high,True,14:00,16:00,16.0,0.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
132,work,120,Wednesday,False,False,False,low,True,20:00,22:00,22.0,0.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
133,personal,60,Friday,True,False,False,ASAP,True,20:00,21:00,21.0,0.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
134,work,30,Friday,True,False,False,high,True,20:00,20:30,20.0,30.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
135,coding,90,Wednesday,True,False,False,medium,False,10:00,,,,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
136,coding,270,Wednesday,True,False,False,high,True,08:00,12:30,12.0,30.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
137,personal,120,Friday,True,False,False,low,False,11:00,,,,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
138,workout,60,Monday,False,False,False,low,True,07:00,08:00,8.0,0.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
139,workout,30,Wednesday,False,False,False,ASAP,True,18:30,19:00,19.0,0.0,18,30,-1.0,-1.8369701987210297e-16,5.66553889764798e-16,-1.0
140,work,60,Wednesday,True,False,False,ASAP,True,19:00,20:00,20.0,0.0,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
141,meeting,90,Monday,True,False,True,ASAP,True,09:00,10:30,10.0,30.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
142,work,30,Friday,True,True,False,ASAP,True,20:00,20:30,20.0,30.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
143,personal,30,Wednesday,True,False,False,high,False,08:00,,,,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
144,personal,90,Friday,False,False,False,high,True,17:00,18:30,18.0,30.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
145,personal,120,Friday,True,True,False,ASAP,True,17:00,19:00,19.0,0.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
146,personal,120,Wednesday,False,False,False,ASAP,True,08:00,10:00,10.0,0.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
147,personal,120,Friday,True,True,False,high,True,20:00,22:00,22.0,0.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
148,coding,150,Tuesday,True,False,False,ASAP,True,12:00,14:30,14.0,30.0,12,0,1.2246467991473532e-16,-1.0,0.0,1.0
149,workout,60,Thursday,True,True,False,ASAP,True,13:00,14:00,14.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
150,personal,60,Wednesday,True,False,False,low,True,16:00,17:00,17.0,0.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
151,meeting,45,Thursday,True,False,True,medium,True,17:00,17:45,17.0,45.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
152,meeting,60,Thursday,True,True,True,high,True,17:00,18:00,18.0,0.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
153,meeting,90,Monday,False,False,False,medium,True,16:00,17:30,17.0,30.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
154,meeting,60,Friday,True,False,False,ASAP,False,11:00,,,,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
155,coding,240,Tuesday,True,False,False,ASAP,True,07:00,11:00,11.0,0.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
156,meeting,90,Thursday,True,True,True,medium,True,12:00,13:30,13.0,30.0,12,0,1.2246467991473532e-16,-1.0,0.0,1.0
157,personal,120,Wednesday,True,False,False,medium,True,12:00,14:00,14.0,0.0,12,0,1.2246467991473532e-16,-1.0,0.0,1.0
158,work,120,Wednesday,True,False,True,ASAP,True,14:00,16:00,16.0,0.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
159,meeting,60,Friday,True,True,False,medium,True,17:00,18:00,18.0,0.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
160,coding,90,Wednesday,True,False,False,medium,True,13:00,14:30,14.0,30.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
161,coding,90,Tuesday,False,False,False,ASAP,True,11:00,12:30,12.0,30.0,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
162,meeting,15,Monday,True,False,True,high,True,17:00,17:15,17.0,15.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
163,work,90,Friday,True,False,False,ASAP,True,18:00,19:30,19.0,30.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
164,meeting,45,Monday,True,True,False,ASAP,True,17:00,17:45,17.0,45.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
165,coding,240,Tuesday,True,False,False,high,True,16:00,20:00,20.0,0.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
166,workout,60,Wednesday,False,False,False,ASAP,True,08:00,09:00,9.0,0.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
167,personal,120,Friday,True,False,False,medium,True,13:00,15:00,15.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
168,coding,210,Tuesday,True,False,False,medium,True,16:00,19:30,19.0,30.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
169,meeting,100,Monday,True,True,False,ASAP,False,10:00,,,,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
170,personal,60,Wednesday,True,False,False,high,True,08:00,09:00,9.0,0.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
171,meeting,15,Friday,True,True,True,ASAP,True,17:00,17:15,17.0,15.0,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
172,meeting,60,Monday,True,False,True,ASAP,True,14:00,15:00,15.0,0.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
173,workout,30,Tuesday,False,False,False,ASAP,True,19:00,19:30,19.0,30.0,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
174,personal,120,Friday,True,True,False,medium,False,11:00,,,,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
175,personal,120,Friday,True,True,False,low,True,13:00,15:00,15.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
176,workout,60,Friday,True,False,False,low,True,09:00,10:00,10.0,0.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
177,coding,150,Tuesday,True,False,False,high,True,08:00,10:30,10.0,30.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
178,meeting,60,Monday,True,True,True,ASAP,True,15:00,16:00,16.0,0.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
179,work,90,Friday,True,False,False,low,False,19:00,,,,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
180,meeting,60,Monday,True,True,True,ASAP,True,09:00,10:00,10.0,0.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
181,meeting,90,Thursday,True,True,False,ASAP,True,15:00,16:30,16.0,30.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
182,coding,60,Tuesday,True,False,False,medium,True,11:00,12:00,12.0,0.0,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
183,meeting,60,Monday,True,False,True,ASAP,True,13:00,14:00,14.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
184,workout,120,Wednesday,True,False,False,low,True,12:30,14:30,14.0,30.0,12,30,1.2246467991473532e-16,-1.0,5.66553889764798e-16,-1.0
185,workout,120,Friday,False,False,False,ASAP,True,13:00,15:00,15.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
186,personal,120,Friday,True,False,True,ASAP,False,11:00,,,,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
187,work,30,Wednesday,True,False,False,high,True,18:00,18:30,18.0,30.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
188,meeting,45,Monday,True,False,True,ASAP,True,15:00,15:45,15.0,45.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
189,meeting,120,Monday,True,True,True,medium,False,09:00,,,,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
190,coding,210,Thursday,True,False,True,ASAP,True,14:00,17:30,17.0,30.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
191,workout,30,Tuesday,False,False,False,low,True,08:00,08:30,8.0,30.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
192,work,120,Wednesday,False,False,False,high,True,07:00,09:00,9.0,0.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
193,personal,30,Friday,True,False,False,low,True,20:00,20:30,20.0,30.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
194,workout,90,Wednesday,False,False,False,ASAP,True,13:00,14:30,14.0,30.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
195,personal,90,Wednesday,True,False,False,low,False,09:00,,,,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
196,coding,180,Wednesday,True,False,False,medium,True,18:00,21:00,21.0,0.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
197,coding,150,Tuesday,True,False,False,ASAP,True,15:00,17:30,17.0,30.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
